pid,content_model,collection_pid,page_of,sequence,constituent_of
imagined:209412,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:18,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:208741,islandora:sp_large_image_cmodel,imagined:roebros,,,
imagined:209103,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208700,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208295-p_041,islandora:pageCModel,imagined:208295,imagined:208295,47,
imagined:208295-z_001,islandora:pageCModel,imagined:208295,imagined:208295,100,
imagined:208456,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209121,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208295-f_001,islandora:pageCModel,imagined:208295,imagined:208295,2,
imagined:208553,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208583,islandora:sp_basic_image,,,,
imagined:208892,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208419,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:208831,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:209185,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208295-p_004,islandora:pageCModel,imagined:208295,imagined:208295,10,
imagined:208296-z_005,islandora:pageCModel,imagined:208296,imagined:208296,106,
imagined:208351,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208889,islandora:sp_basic_image,,,,
imagined:208955,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:208578,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208771,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208295-p_078,islandora:pageCModel,imagined:208295,imagined:208295,84,
imagined:209309,islandora:sp_basic_image,imagined:site-content,,,
imagined:208295-p_033,islandora:pageCModel,imagined:208295,imagined:208295,39,
imagined:208726,islandora:sp_large_image_cmodel,imagined:roebros,,,
imagined:208893,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208322,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208422,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:209243,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208483,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209381,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208338,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208582,islandora:sp_basic_image,,,,
imagined:208559,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208434,islandora:sp_basic_image,,,,
imagined:208694,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208296-z_011,islandora:pageCModel,imagined:208296,imagined:208296,112,
imagined:208295-f_005,islandora:pageCModel,imagined:208295,imagined:208295,6,
imagined:209218,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209372,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:209000,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209053,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208295-p_073,islandora:pageCModel,imagined:208295,imagined:208295,79,
imagined:208296-p_054,islandora:pageCModel,imagined:208296,imagined:208296,60,
